,weapon,map,distance,killer name
0,Pan,ERANGEL,7558.728685785726,nummshu
1,P1911,ERANGEL,8656.000852016594,SuBiNa
2,Punch,ERANGEL,2718.596509385128,Single_Yes
3,Punch,ERANGEL,5636.606999671522,WarHorse359
4,Punch,ERANGEL,5645.704688729831,DoctorBread21
5,P1911,ERANGEL,5631.771307025171,Sgt_Cheesus
6,P1911,ERANGEL,5657.083763589239,Sgt_Cheesus
7,Hit by Car,ERANGEL,130.71801822243185,Kremco-Inc
8,P92,ERANGEL,4730.61380724748,kszzx17
9,P18C,ERANGEL,5524.756564012933,Mello_don
10,P92,ERANGEL,3957.8084388049915,dou97
11,Hit by Car,ERANGEL,3974.4295532199335,DHZZZ1
12,R1895,ERANGEL,3664.792060973856,gLiTchN0ut2dUb
13,R1895,ERANGEL,3664.792060973856,gLiTchN0ut2dUb
14,R1895,ERANGEL,3664.792060973856,gLiTchN0ut2dUb
15,Hit by Car,ERANGEL,7102.864719177044,2tab_xm
16,Hit by Car,ERANGEL,7063.851806353245,2tab_xm
17,Punch,ERANGEL,7951.377689641022,eflava
18,Punch,ERANGEL,7572.12034519612,wyysixsixsix
19,Punch,ERANGEL,8288.287327350627,Ggm4-lqllh99
20,Punch,ERANGEL,4860.660044519468,Ten-zxy666
21,Pan,ERANGEL,6035.097507751801,XCC8013
22,Punch,ERANGEL,4199.816711172524,Logis00
23,Punch,ERANGEL,7692.337136049421,GeforceHe
24,Punch,ERANGEL,8726.56283473906,Jy-666-Nm
25,Machete,ERANGEL,5961.166242347297,HuangCanCande
26,Machete,ERANGEL,5973.632215485817,HuangCanCande
27,Machete,ERANGEL,5969.138375200981,HuangCanCande
28,Machete,ERANGEL,5976.746923298744,HuangCanCande
29,Machete,ERANGEL,5941.4859747074215,HuangCanCande
30,Punch,ERANGEL,7144.9050952566895,lbigjj315
31,Punch,ERANGEL,7128.935919245172,BJDemon
32,Punch,ERANGEL,8431.997994816946,DadiHe
33,Punch,ERANGEL,8432.630927825847,DadiHe
34,Punch,ERANGEL,8434.460957088486,DadiHe
35,Punch,ERANGEL,8446.7115917934,DadiHe
36,Punch,ERANGEL,8436.016076767635,DadiHe
37,Punch,ERANGEL,7059.134908969583,Semikiller
38,Punch,ERANGEL,2659.634852160161,BIUBIUBABABIU666
39,Punch,ERANGEL,2648.3863500269367,BIUBIUBABABIU666
40,Punch,ERANGEL,7414.61753595558,SSSINMMY
