,weapon,map,distance,killer name
0,P1911,MIRAMAR,4941.093164436591,LuoJunHao
1,P1911,MIRAMAR,4942.75250726364,LuoJunHao
2,P92,MIRAMAR,3703.494649325283,engsciGOD
3,Punch,MIRAMAR,2820.39014856952,tEaChA
4,Punch,MIRAMAR,5410.158734937268,Jonny3on
5,R45,MIRAMAR,2744.3815633909217,ToastyFish
6,Punch,MIRAMAR,3701.610969440873,ZoEy-
7,Punch,MIRAMAR,1969.454690787592,fatxjack
8,P1911,MIRAMAR,2994.6961333881604,Ki_rito_
9,Punch,MIRAMAR,3837.9508553406467,BIGOO7
10,Punch,MIRAMAR,2673.014977646216,otoM
11,Punch,MIRAMAR,8416.123106910034,China_Sofia
12,Hit by Car,MIRAMAR,5173.947944525341,ChristineBABY
13,Hit by Car,MIRAMAR,4838.38016805015,ShsuHua
14,R45,MIRAMAR,5144.021835831181,Kuruzaji
15,Punch,MIRAMAR,4730.363534043658,Xiaosuannai666
16,Punch,MIRAMAR,4674.353516066687,Xiaosuannai666
17,P1911,MIRAMAR,3844.9917185005743,Hype_beast02
18,R45,MIRAMAR,3880.7873912041355,W33zey
19,Hit by Car,MIRAMAR,3865.6570832908856,Tommy7k
20,Punch,MIRAMAR,3869.252334615178,GlocksGaming
21,Hit by Car,MIRAMAR,3713.845033163877,RiK1_
22,Hit by Car,MIRAMAR,3712.3461507359466,K11nGz
23,Punch,MIRAMAR,5388.677186227896,SHAXINGLE
24,P92,MIRAMAR,4274.619437994568,adasddsadsa
25,Punch,MIRAMAR,4302.176903025957,HeyDontLook
26,P1911,MIRAMAR,5970.032317174255,chijishi_sb
27,Hit by Car,MIRAMAR,4723.693313284426,SuGaaK24
28,Punch,MIRAMAR,5186.215542648609,Smi1eMAn
29,R45,MIRAMAR,3690.5166129859113,wZzzhao
30,Punch,MIRAMAR,3737.604832899808,liujun905
31,Pan,MIRAMAR,4979.704577657192,hzm517517
32,P1911,MIRAMAR,2253.8206612765357,licepin
33,Punch,MIRAMAR,3750.841083976899,Fxckofflife
34,Punch,MIRAMAR,2193.4939773074375,PROFG
35,Punch,MIRAMAR,4545.619286211286,lianwenjie
36,Punch,MIRAMAR,4559.389460021374,lianwenjie
37,Punch,MIRAMAR,7001.347546668784,ch851025
38,P1911,MIRAMAR,3645.6697184359696,yesplease101
39,Punch,MIRAMAR,5403.069367562317,desebaji123
40,Punch,MIRAMAR,5412.9449826558375,desebaji123
41,Punch,MIRAMAR,3734.8857667260722,0o0yy
42,P1911,MIRAMAR,4645.6060082103395,LGDoraemon
43,Punch,MIRAMAR,4555.907967556851,Rima114
44,Hit by Car,MIRAMAR,4547.524605343989,MRx313
45,Hit by Car,MIRAMAR,2750.0421447250583,Atom_A
46,Hit by Car,MIRAMAR,3406.4416545703525,Ap3ri0N
47,R45,MIRAMAR,4723.71093954954,billiameister
48,R45,MIRAMAR,4856.013982731516,OldEmrys
49,Hit by Car,MIRAMAR,4553.472953162784,MRx313
50,R45,MIRAMAR,4856.670868182237,OldEmrys
51,R45,MIRAMAR,6152.301715184164,DopeSkillMaster
52,P92,MIRAMAR,2917.3821478222562,Mach1Mustang
53,P92,MIRAMAR,6488.857691380278,pangfj
54,P92,MIRAMAR,3712.758217131436,CDLH
55,P92,MIRAMAR,3838.691040104686,HisokaMorrow
56,Punch,MIRAMAR,3813.8647937887104,Alen-Chan
57,P1911,MIRAMAR,2190.9705767079577,OOXX5233
58,P1911,MIRAMAR,2188.1774400080085,chuqiya
59,P1911,MIRAMAR,2192.7941328362313,chuqiya
60,P1911,MIRAMAR,2226.1721065694805,Guajia123
61,Punch,MIRAMAR,3735.5134410087458,Nicefanye
62,Hit by Car,MIRAMAR,4830.81973238704,SHARKMANAA
63,Hit by Car,MIRAMAR,4808.736190747108,liko_je
64,P92,MIRAMAR,3732.2654773809973,MUCTEP_BAHLLIOT
65,Punch,MIRAMAR,2207.955532382163,zhangximantababa
66,P92,MIRAMAR,3733.778306354034,CHENHUA8D
67,Punch,MIRAMAR,4653.618501795135,gh12580
68,P1911,MIRAMAR,3732.9225814211577,JASONHangyk
69,Hit by Car,MIRAMAR,4841.037758983191,Creave666
70,Punch,MIRAMAR,4651.4221244952605,Yanlong1988
71,R45,MIRAMAR,5340.743284505351,Camilo54
