weapon,mean distance,standard deviation,lower bound,upper bound,frequency
P18C,,,,,3335
death.RedZoneBomb_C,,,,,10
Kar98k,,,,,72210
death.ProjMolotov_C,4991.398585394306,1878.0754982144442,-642.8279092490266,10625.625080037638,69
AWM,,,,,6056
Aquarail,,,,,4
SCAR-L,,,,,254094
Mini 14,,,,,88392
SKS,,,,,61701
Vector,,,,,15870
S12K,,,,,63038
death.PlayerMale_A_C,11081.729344863046,0.0,11081.729344863046,11081.729344863046,1
Grenade,,,,,49149
M416,,,,,307175
AKM,,,,,237802
R1895,,,,,9443
Buggy,,,,,1892
Drown,,,,,12088
M249,,,,,6321
Mk14,,,,,3494
Pan,,,,,3942
Hit by Car,,,,,25666
Machete,,,,,1356
S686,,,,,69566
Groza,,,,,9381
death.WeapSawnoff_C,4737.82269638942,1802.5324003922851,-669.774504787435,10145.419897566277,13
UMP9,,,,,151595
Falling,,,,,30917
Crossbow,,,,,4771
Boat,,,,,453
AUG,,,,,1217
Motorbike (SideCar),,,,,2753
Sickle,,,,,1053
S1897,,,,,122617
Crowbar,4775.801175591707,1443.7112410433404,444.66745246168557,9106.934898721727,1161
M16A4,,,,,260250
Punch,,,,,75043
VSS,,,,,7121
P1911,,,,,32554
Uaz,,,,,11116
M24,,,,,8343
Down and Out,,,,,471069
Motorbike,,,,,2484
R45,4786.865044824426,718.7898277265393,2630.4955616448083,6943.2345280040445,11
Tommy Gun,,,,,35209
P92,,,,,31136
Micro UZI,,,,,55855
Bluezone,,,,,133854
death.Buff_FireDOT_C,,,,,719
RedZone,,,,,3539
death.ProjMolotov_DamageField_C,,,,,1924
Dacia,,,,,4982
DP-28,,,,,9276
