weapon,mean distance,standard deviation,lower bound,upper bound,frequency
AWM,,,,,724
Drown,,,,,1015
Pickup Truck,,,,,1286
Grenade,,,,,5484
Tommy Gun,,,,,3454
Vector,,,,,1820
P92,,,,,3060
Motorbike,,,,,221
AUG,,,,,820
M16A4,,,,,24677
Mk14,,,,,417
S686,,,,,6230
Hit by Car,,,,,2792
death.WeapSawnoff_C,,,,,1662
Sickle,4413.010358245854,1239.2728032082257,695.1919486211773,8130.828767870531,85
S12K,,,,,5877
VSS,,,,,683
Win94,,,,,3291
RedZone,,,,,332
SKS,,,,,7290
Pan,,,,,386
death.Buff_FireDOT_C,,,,,81
Bluezone,,,,,15597
death.ProjMolotov_DamageField_C,4668.945535147035,1822.9467772308749,-799.89479654559,10137.78586683966,191
Down and Out,,,,,52028
Falling,,,,,2687
Kar98k,,,,,7514
R45,,,,,1008
P1911,,,,,2652
AKM,,,,,24907
Crossbow,4693.284654658419,1531.952913224746,97.42591498418096,9289.143394332656,349
Aquarail,7028.495953864274,684.5954640821773,4974.709561617743,9082.282346110806,8
S1897,,,,,10131
death.RedZoneBomb_C,,,,,8
SCAR-L,,,,,29781
UMP9,,,,,16058
Crowbar,4595.610670837867,1428.7143900507735,309.46750068554593,8881.753840990186,103
Punch,,,,,6425
Motorbike (SideCar),,,,,214
death.ProjMolotov_C,4135.185228825439,540.9675031597166,2512.282719346289,5758.087738304588,3
Micro UZI,,,,,5693
M24,,,,,901
death.PG117_A_01_C,5772.99422646641,1110.6713613782217,2440.9801423317444,9105.008310601075,3
M416,,,,,38658
Mini 14,,,,,7116
M249,,,,,372
Machete,4823.328016999016,1707.721494326523,-299.83646598055384,9946.492499978585,114
Van,,,,,104
Groza,,,,,641
Buggy,,,,,282
P18C,,,,,320
weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Van,,,,,178
P18C,,,,,644
death.RedZoneBomb_C,,,,,20
Kar98k,,,,,15231
death.ProjMolotov_C,3851.9899099077093,1562.8486395963325,-836.5560088812881,8540.535828696706,10
AWM,,,,,1420
death.PG117_A_01_C,5489.5295451227175,2202.2649862408125,-1117.26541359972,12096.324503845155,9
Aquarail,7011.805613812003,559.1860979522176,5334.24731995535,8689.363907668656,13
SKS,,,,,14768
SCAR-L,,,,,59952
Mini 14,,,,,14295
Vector,,,,,3654
S12K,,,,,11623
Grenade,,,,,11206
M416,,,,,77170
AKM,,,,,49895
Buggy,,,,,541
Drown,,,,,1917
M249,,,,,813
Mk14,,,,,780
Pan,,,,,728
Hit by Car,,,,,5710
Machete,,,,,246
S686,,,,,12434
Groza,,,,,1265
death.WeapSawnoff_C,,,,,3280
UMP9,,,,,32545
Falling,,,,,5384
Win94,,,,,6722
Crossbow,,,,,687
Pickup Truck,,,,,2559
AUG,,,,,1684
Motorbike (SideCar),,,,,449
Crowbar,,,,,210
S1897,,,,,20266
Sickle,,,,,187
M16A4,,,,,49839
Punch,,,,,13100
VSS,,,,,1324
P1911,,,,,5237
M24,,,,,1821
Down and Out,,,,,104503
R45,,,,,2033
Motorbike,,,,,468
Tommy Gun,,,,,7080
P92,,,,,6164
Micro UZI,,,,,11421
Bluezone,,,,,31115
death.Buff_FireDOT_C,,,,,151
RedZone,,,,,676
death.ProjMolotov_DamageField_C,,,,,374
weapon,mean distance,standard deviation,lower bound,upper bound,frequency
death.RedZoneBomb_C,,,,,14
S1897,,,,,10215
Tommy Gun,,,,,3678
SCAR-L,,,,,30226
Falling,,,,,2639
AWM,,,,,756
Aquarail,7167.078686413934,199.90589092955426,6567.361013625271,7766.796359202596,6
AUG,,,,,805
Punch,,,,,6638
Groza,,,,,581
Crowbar,,,,,88
death.WeapSawnoff_C,,,,,1647
Vector,,,,,1754
Mini 14,,,,,7039
death.ProjMolotov_DamageField_C,,,,,168
Sickle,,,,,107
Micro UZI,,,,,5585
M249,,,,,440
death.ProjMolotov_C,4044.8088012297662,1444.6262151025865,-289.0698440779929,8378.687446537526,9
R45,,,,,1014
Kar98k,,,,,7682
Buggy,,,,,249
UMP9,,,,,16346
P1911,,,,,2696
Pan,,,,,358
Drown,,,,,939
death.Buff_FireDOT_C,,,,,73
death.PG117_A_01_C,5141.542731860787,0.34759319877847916,5140.499952264452,5142.585511457122,2
Van,,,,,88
Motorbike (SideCar),,,,,201
VSS,,,,,605
M416,,,,,38381
M24,,,,,963
Win94,,,,,3318
P18C,,,,,287
Grenade,,,,,5683
Machete,,,,,105
SKS,,,,,7327
Mk14,,,,,423
Crossbow,,,,,378
S686,,,,,6327
Pickup Truck,,,,,1423
P92,,,,,3094
AKM,,,,,24612
M16A4,,,,,24789
Hit by Car,,,,,2777
Motorbike,,,,,230
S12K,,,,,5885
RedZone,,,,,344
Down and Out,,,,,52624
Bluezone,,,,,15466
weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Aquarail,6763.422968790485,788.1501742114453,4398.972446156149,9127.873491424822,27
M416,,,,,205399
S686,,,,,33451
Grenade,,,,,29984
Mini 14,,,,,38550
Motorbike,,,,,1278
R45,,,,,5462
Hit by Car,,,,,14989
S1897,,,,,53880
M24,,,,,4971
Kar98k,,,,,40938
RedZone,,,,,1764
AUG,,,,,4168
Micro UZI,,,,,30086
VSS,,,,,3492
Tommy Gun,,,,,19477
Van,,,,,525
P1911,,,,,14123
Win94,,,,,18018
Crowbar,,,,,569
Down and Out,,,,,281929
Mk14,,,,,2209
Vector,,,,,9444
Groza,,,,,3413
death.RedZoneBomb_C,,,,,56
death.ProjMolotov_C,4633.399534540885,1642.0098178405929,-292.6299189808933,9559.428988062664,28
Falling,,,,,14178
death.ProjMolotov_DamageField_C,,,,,960
death.Buff_FireDOT_C,,,,,378
S12K,,,,,31268
M16A4,,,,,133273
Pickup Truck,,,,,7260
UMP9,,,,,88001
Bluezone,,,,,83982
Pan,,,,,1882
death.WeapSawnoff_C,,,,,8711
Drown,,,,,5102
Sickle,,,,,474
SCAR-L,,,,,160324
AWM,,,,,3716
P18C,,,,,1719
Buggy,,,,,1451
Punch,,,,,35427
Crossbow,,,,,1803
M249,,,,,2134
P92,,,,,17196
AKM,,,,,132762
Motorbike (SideCar),,,,,1129
Machete,,,,,689
SKS,,,,,40123
death.PG117_A_01_C,6293.643269107336,1000.561632225272,3291.95837243152,9295.328165783152,25
weapon,mean distance,standard deviation,lower bound,upper bound,frequency
UMP9,,,,,43811
S12K,,,,,15704
Micro UZI,,,,,14945
death.WeapSawnoff_C,,,,,4356
Kar98k,,,,,20457
Hit by Car,,,,,7741
Vector,,,,,4518
Falling,,,,,7044
AWM,,,,,1813
Motorbike,,,,,627
Pan,,,,,1019
P92,,,,,8370
SKS,,,,,19986
Punch,,,,,17821
Crowbar,4547.502578242206,1478.1571867820555,113.03101789603988,8981.974138588372,263
death.PG117_A_01_C,6103.349275372775,1833.0797518526606,604.1100198147933,11602.588530930756,14
P18C,,,,,833
P1911,,,,,7275
Van,,,,,226
Pickup Truck,,,,,3755
AKM,,,,,66481
M16A4,,,,,66390
VSS,,,,,1767
S686,,,,,16538
M249,,,,,1145
R45,,,,,2651
Mini 14,,,,,18976
Down and Out,,,,,140106
death.RedZoneBomb_C,,,,,34
death.Buff_FireDOT_C,,,,,192
SCAR-L,,,,,80139
Crossbow,,,,,959
RedZone,,,,,888
Machete,,,,,327
AUG,,,,,2193
death.None,,0.0,,,1
Grenade,,,,,15100
Groza,,,,,1576
M24,,,,,2525
Drown,,,,,2620
M416,,,,,103021
death.ProjMolotov_C,4535.727185601946,1670.7000052330598,-476.3728300972334,9547.827201301126,19
Mk14,,,,,1074
Sickle,4822.865636115984,1514.5368450909955,279.2551008429973,9366.476171388971,262
Aquarail,6808.525158159164,630.926368152985,4915.746053700209,8701.30426261812,12
Motorbike (SideCar),,,,,500
S1897,,,,,26841
Buggy,,,,,723
death.ProjMolotov_DamageField_C,,,,,484
Tommy Gun,,,,,9647
Bluezone,,,,,41971
Win94,,,,,8735
weapon,mean distance,standard deviation,lower bound,upper bound,frequency
Motorbike (SideCar),,,,,559
P1911,,,,,6982
M24,,,,,2471
Tommy Gun,,,,,9607
Motorbike,,,,,615
Buggy,,,,,749
death.Buff_FireDOT_C,,,,,191
S1897,,,,,26946
death.PG117_A_01_C,6458.517727976962,922.4836375790004,3691.066815239961,9225.968640713963,13
Van,,,,,269
Crossbow,,,,,912
Crowbar,,,,,277
P18C,,,,,860
Pan,,,,,922
AUG,,,,,2067
Down and Out,,,,,138954
AWM,,,,,1860
RedZone,,,,,858
Aquarail,6835.392054152983,627.3987868142673,4953.195693710181,8717.588414595786,13
M416,,,,,102804
Micro UZI,,,,,15060
Kar98k,,,,,20558
Falling,,,,,7210
R45,,,,,2662
Bluezone,,,,,41898
M16A4,,,,,66580
death.WeapSawnoff_C,,,,,4303
VSS,,,,,1777
SCAR-L,,,,,80002
Punch,,,,,17389
death.ProjMolotov_DamageField_C,,,,,466
S686,,,,,16704
Mini 14,,,,,19002
Win94,,,,,8989
Sickle,,,,,243
Pickup Truck,,,,,3659
UMP9,,,,,43675
Grenade,,,,,14841
death.ProjMolotov_C,4112.451328931143,1049.1563198653298,964.9823693351532,7259.920288527132,14
AKM,,,,,66176
death.RedZoneBomb_C,,,,,29
S12K,,,,,15534
Hit by Car,,,,,7567
P92,,,,,8521
Drown,,,,,2610
SKS,,,,,19920
Mk14,,,,,1116
Machete,,,,,319
Vector,,,,,4772
M249,,,,,1056
Groza,,,,,1739
